TransactionID,Amount,Date,Status
4912.0,661.68,2021-07-05,Completed
8786.0,749.12,2022-06-24,Completed
9658.0,174.3,2023-01-04,Completed
7431.0,697.57,2023-05-07,Failed
8046.0,862.84,2022-06-24,Completed
4730.0,402.7,2022-07-16,Failed
9426.0,718.87,2020-02-27,Completed
5954.0,754.1,2023-03-12,Pending
3397.0,263.34,2024-09-03,Completed
3413.0,592.45,2021-01-26,Pending
9711.0,218.35,2024-03-18,Completed
2698.0,338.39,2021-03-07,Pending
2888.0,616.58,2023-04-26,Failed
3725.0,954.17,2021-08-02,Failed
5038.0,429.82,2021-03-23,Completed
2429.0,797.39,2022-04-20,Failed
5311.0,584.12,2023-09-22,Completed
9683.0,299.55,2021-06-27,Failed
5073.0,155.12,2021-09-30,Failed
5166.0,547.62,2024-02-10,Pending
2281.0,128.37,2024-03-04,Pending
1022.0,197.07,2023-04-29,Pending
5738.0,,2021-01-27,Completed
9759.0,417.52,2023-03-17,Pending
6335.0,703.06,2022-09-30,Completed
5531.0,,2020-11-25,Failed
2336.0,787.03,2022-02-10,Failed
7836.0,830.58,2020-04-04,Failed
7327.0,910.85,2024-08-15,Failed
9709.0,573.91,2020-11-08,Failed
8708.0,809.4,2021-08-06,Failed
5713.0,258.63,2020-01-02,Pending
7151.0,834.3,2023-05-07,Failed
2217.0,603.29,2024-09-19,Completed
2989.0,551.38,2023-06-11,Completed
6312.0,803.36,2024-01-26,Completed
9638.0,112.71,2024-08-28,Pending
9191.0,840.22,2020-04-16,Failed
5649.0,757.27,2024-04-16,
1572.0,284.25,2021-07-13,Completed
4808.0,433.53,2021-07-05,Completed
7292.0,195.16,2020-04-11,Completed
6712.0,179.82,2020-08-08,Failed
6919.0,400.39,2021-09-13,Completed
4291.0,253.53,2024-07-26,Completed
6080.0,750.11,2021-08-19,Completed
3751.0,960.14,2024-02-24,Pending
9891.0,677.36,2022-03-06,Completed
2458.0,940.7,2021-01-26,Completed
1070.0,330.69,2023-04-14,Pending
6694.0,642.93,2020-11-17,Failed
5013.0,396.31,2021-01-11,Completed
1715.0,607.94,2021-04-12,Completed
9597.0,935.86,2023-07-17,Pending
3477.0,554.67,2022-04-08,Completed
8969.0,116.27,2024-10-02,Completed
6675.0,884.84,2022-02-22,Completed
,252.0,2023-05-29,Failed
,449.05,2020-12-11,Failed
1994.0,317.68,2023-10-14,Failed
5885.0,134.32,2020-06-20,Completed
1761.0,487.45,2023-07-09,Pending
5967.0,784.28,2023-05-28,Failed
7556.0,403.12,2022-05-31,Pending
5828.0,667.27,2021-11-19,Failed
5917.0,629.39,2020-04-29,Completed
2772.0,142.01,2024-06-24,Completed
8302.0,954.83,2024-11-01,Completed
9487.0,592.16,2020-11-27,Pending
,158.76,2024-10-19,Pending
3998.0,,2021-11-30,Completed
3224.0,275.67,2020-11-11,Failed
1751.0,432.47,2024-01-10,Pending
2624.0,346.57,2022-01-30,Completed
8181.0,360.83,2020-10-23,Failed
4665.0,962.0,2021-08-06,Failed
1634.0,268.42,2023-10-11,Completed
3049.0,153.09,2021-09-30,Failed
9521.0,108.28,2020-09-02,Completed
3160.0,397.42,2020-09-09,Completed
4879.0,106.64,2023-08-21,Failed
2188.0,147.84,2021-03-12,Pending
9814.0,786.25,2022-12-13,Failed
1285.0,584.27,2023-08-02,Pending
8653.0,140.95,2023-12-11,Pending
3491.0,515.32,2022-03-18,Failed
1600.0,789.9,2024-01-29,Failed
3975.0,914.3,2024-04-12,Failed
8665.0,932.52,2022-04-11,Failed
7652.0,342.45,2021-05-14,Failed
9209.0,329.49,2022-01-20,Failed
6791.0,562.88,2024-03-04,Pending
3691.0,225.95,2021-08-30,Completed
6390.0,262.08,2023-08-11,Failed
3967.0,326.11,2021-07-12,Failed
7555.0,187.58,2020-04-25,Failed
3781.0,114.7,2020-05-20,Pending
2527.0,240.12,2023-04-01,Pending
5953.0,922.68,2022-10-23,Completed
7131.0,278.53,2020-09-15,Failed
